count,director
2,Sangeeth Sivan
2,Terry Jones
2,Robin Swicord
2,Barry Levinson
2,Jeff Tremaine
2,Ted Demme
2,Warren P. Sonoda
2,Bert Marcus
2,Peter Jackson
2,Ahmad El-Badri
2,Scott Hicks
2,Ivan Reitman
2,David Paul Meyer
2,Oliver Twinch
2,Asghar Farhadi
2,Roger Kumble
2,Fisher Stevens
2,Prakash Mehra
2,Errol Morris
2,David Wain
2,Khaled El Halafawy
2,Asif Kapadia
2,Jacob Joice
2,A. L. Vijay
2,Bille Woodruff
2,John Duigan
2,Apoorva Lakhia
2,Diego Pignataro
2,Satyajit Bhatkal
2,Jota Linares
2,Frank Oz
2,Alison Klayman
2,Brett Ratner
2,Brad Bird
2,Tarek Al Eryan
2,Kedar Shinde
2,Peter Hutchings
2,Noam Murro
2,Larry Latham
2,Jill Bauer
2,David Fairhead
2,R. Ellis Frazier
2,Damián Romay
2,Andrew Niccol
2,Atanu Ghosh
2,Keegan Kuhn
2,Duncan Jones
2,Brad Anderson
2,Steve Paley
2,Sofia Coppola
2,Nicolás López
2,Hugues Nancy
2,Kevin Layne
2,Thomas Astruc
2,Wael Ihsan
2,Chris Bell
2,Hajime Kamegaki
2,David M. Rosenthal
2,Heber Cannon
2,Ted Emery
2,Chris Smith
2,Avadhoot Gupte
2,John Lee Hancock
2,Rizal Mantovani
2,Gary Howsam
2,Rusty Cundieff
2,Adam Carolla
2,Vikas Bahl
2,James Ponsoldt
2,Stanley Tong
2,Kief Davidson
2,Kabir Bhatia
2,Patricia Rozema
2,Tim Maltby
2,Leo Riley
2,Alejandro Fernández Almendras
2,Umesh Shukla
2,Steve Brill
2,Scott L. Montoya
2,Mez Tharatorn
2,Kevin MacDonald
2,Griffin Dunne
2,Saul Dibb
2,Jason Reitman
2,Daniel Alfredson
2,Drake Doremus
2,Herman Yau
2,Michael D. Black
2,John Stockwell
2,Gareth Evans
2,Momoko Kamiya
2,Fabien Beziat
2,Thiru
2,Stephen Chow
2,Scott Stewart
2,Parambrata Chatterjee
2,Sean Cisterna
2,Chito S. Roño
2,Olivier Assayas
2,Susan Johnson
2,Ribhu Dasgupta
2,Burak Aksak
2,Nick Broomfield
2,Gabriele Muccino
2,Peter Farrelly
2,Hani Hamdi
2,Sridhar Rangayan
2,Jack C. Newell
2,Benjamin Turner
2,Manish Jha
2,Sanjay Jadhav
2,Suparn Verma
2,Kabir Sadanand
2,Alex Zamm
2,Paul Andrew Williams
2,Nia Dinata
2,Tim Story
2,Selçuk Aydemir
2,Dennie Gordon
2,Danny Boyle
2,Anggy Umbara
2,Eli Roth
2,Corey Yuen
2,Heidi Ewing
2,Matías Gueilburt
2,Robert Kenner
2,Nicolas Winding Refn
2,Joe Dante
2,Jehane Noujaim
2,Justin Webster
2,Aanand Rai
2,Will Yapp
2,Gregory Caruso
2,Santosh Sivan
2,Khaled Marei
2,Hadi El Bagoury
2,Steven Brill
2,Randall Lobb
2,Barry Avrich
2,Paul Dugdale
2,Andy Fickman
2,Joel Coen
2,Andrew Duncan
2,Oliver Stone
2,Osgood Perkins
2,Brian Oakes
2,Chris Sivertson
2,Spike Jonze
2,Neill Blomkamp
2,Rashida Jones
2,Kasia Uscinska
2,Kyle Newacheck
2,Robert Altman
2,Sundar C.
2,Brian Levant
2,James McTeigue
2,Michael Dowse
2,Parkpoom Wongpoom
2,Byron Howard
2,Antonio Serrano
2,Adam Shankman
2,Alexandre Avancini
2,Soumendra Padhi
2,Zak Hilditch
2,Cal Seville
2,Ethan Coen
2,Luc Vinciguerra
2,J.C. Chandor
2,Jose Manuel Colón
2,Jonathan Mostow
2,Dani de la Torre
2,Kim Nguyen
2,Frank Rajah Arase
2,George Ford
2,Paco Plaza
2,Shivam Nair
2,Scott Moran
2,Phil Weinstein
2,Seth Barrish
2,Jay Chandrasekhar
2,Michael Tiddes
2,Maryo J. De los Reyes
2,Peter Segal
2,Şenol Sönmez
2,John Dahl
2,Erik Canuel
2,James Wong
2,Alexis Morante
2,Ibrahim Bin Mohamed
2,Brian Klein
2,Rachel Grady
2,Paul Weitz
2,Chris Howe
2,Aditya Sarpotdar
2,Daniel Stamm
2,Gillian Robespierre
2,Nate Adams
2,Michael Drumm
2,Anirban Majumder
2,Dan Forrer
2,Matt Kugelman
2,Maria Ripoll
2,Charlie Lightening
2,Dave Higby
2,Everardo González
2,Gilles Paquet-Brenner
2,Jeff Baena
2,Shakti Samanta
2,Basu Chatterjee
2,Ron Davis
2,Daniel Lindsay
2,Amr Arafa
2,Kim A. Snyder
2,Sriram Raghavan
2,Scott Aukerman
2,Ksshitij Chaudhary
2,Eli Craig
2,Morgan Spurlock
2,Alain Desrochers
2,Jacob Kornbluth
2,David Sington
2,Pete Travis
2,Ava DuVernay
2,Javier Ruiz Caldera
2,John G. Avildsen
2,Tanuja Chandra
2,William Wyler
2,Patrick Brice
2,Marcos Bucay
2,Charlie McDowell
2,Martin Gorst
2,Tsutomu Mizushima
2,Reema Kagti
2,Naoko Yamada
2,Andrew Tan
2,Rob Reiner
2,Joyce Bernal
2,Álex de la Iglesia
2,Sachin
2,Rian Johnson
2,Alejandro Agresti
2,Husam El-Gohari
2,Shlok Sharma
2,Jeremy Kenyon Lockyer Corbell
2,Tope Oshin
2,Jani Lachauer
2,Nagraj Manjule
2,Shashanka Ghosh
2,Wolfgang Petersen
2,Eric Radomski
2,Aditya Kripalani
2,Philipp Stölzl
2,Robert O. Peters
2,Martin Campbell
2,Shirish Kunder
2,Trey Edward Shults
2,Michèle Ohayon
2,Navaniat Singh
2,Alex Proyas
2,Alistair Legrand
2,Tom Hooper
2,Brian De Palma
2,Gianfranco Rosi
2,Ari Sandel
2,N. Linguswamy
2,Mariano Cohn
2,Wes Craven
1,Sandra Restrepo
1,Karl Mueller
1,Michael Larnell
1,Victor Dal Chele
1,Eric Stoltz
1,Anthony Veiller
1,Limbert Fabian
1,Kireet Khurana
1,Sherif Mandour
1,Ravi Babu
1,Ayaan Mukherji
1,Josh Wakely
1,Coerte Voorhees
1,Sagar Sarhadi
1,Nicholas Stoller
1,Anand Kamalakar
1,Shadab Khan
1,Leif Tilden
1,Jeffrey Nachmanoff
1,Cecilia Peck
1,Çagan Irmak
1,Glen Winter
1,Fazila Allana
1,Téo Frank
1,Chris Weitz
1,Leopoldo Aguilar
1,Mukul Anand
1,Marty Stalker
1,Moinak Biswas
1,Jim Gable
1,Felix van Groeningen
1,Amit Saxena
1,Jung Ji-woo
1,Numa Perrier
1,Adam Leon
1,Sartaj Singh Pannu
1,Uwe Boll
1,Jordi Llompart
1,Deepika Narayan Bhardwaj
1,Lô Politi
1,Keiko Yagi
1,Philipp Eichholtz
1,Isaki Lacuesta
1,Dave Green
1,N. Chandra
1,Robert Nixon
